repo,pr_number,url,Time to Merge (days),Number of Unique Reviewers,Total Discussion Comments,Commits After First Review,Time Between First and Last Comments (days),Requested Changes,log1p Time to Merge (days),log1p Number of Unique Reviewers,log1p Total Discussion Comments,log1p Commits After First Review,log1p Time Between First and Last Comments (days),log1p Requested Changes
amrex,4559,https://github.com/AMReX-Codes/amrex/pull/4559,4.72,3,6,1,4.71,0,1.7439688053917064,1.3862943611198906,1.9459101490553132,0.6931471805599453,1.7422190236679187,0.0
amrex,4560,https://github.com/AMReX-Codes/amrex/pull/4560,0.66,1,0,0,,0,0.5068176023684519,0.6931471805599453,0.0,0.0,,0.0
amrex,4566,https://github.com/AMReX-Codes/amrex/pull/4566,0.05,1,0,0,,0,0.04879016416943201,0.6931471805599453,0.0,0.0,,0.0
amrex,4567,https://github.com/AMReX-Codes/amrex/pull/4567,7.34,1,1,0,,0,2.1210632163706555,0.6931471805599453,0.6931471805599453,0.0,,0.0
amrex,4568,https://github.com/AMReX-Codes/amrex/pull/4568,0.06,1,0,0,,0,0.058268908123975775,0.6931471805599453,0.0,0.0,,0.0
amrex,4569,https://github.com/AMReX-Codes/amrex/pull/4569,0.03,1,0,0,,0,0.0295588022415444,0.6931471805599453,0.0,0.0,,0.0
amrex,4570,https://github.com/AMReX-Codes/amrex/pull/4570,0.09,1,11,0,1.9,0,0.08617769624105233,0.6931471805599453,2.4849066497880004,0.0,1.0647107369924282,0.0
amrex,4573,https://github.com/AMReX-Codes/amrex/pull/4573,0.04,1,0,1,,0,0.039220713153281295,0.6931471805599453,0.0,0.6931471805599453,,0.0
amrex,4575,https://github.com/AMReX-Codes/amrex/pull/4575,0.05,1,2,0,,0,0.04879016416943201,0.6931471805599453,1.0986122886681096,0.0,,0.0
amrex,4577,https://github.com/AMReX-Codes/amrex/pull/4577,0.96,1,0,0,,0,0.6729444732424258,0.6931471805599453,0.0,0.0,,0.0
amrex,4579,https://github.com/AMReX-Codes/amrex/pull/4579,0.51,1,0,0,,0,0.412109650826833,0.6931471805599453,0.0,0.0,,0.0
amrex,4580,https://github.com/AMReX-Codes/amrex/pull/4580,1.24,1,0,0,,0,0.8064758658669485,0.6931471805599453,0.0,0.0,,0.0
amrex,4581,https://github.com/AMReX-Codes/amrex/pull/4581,13.37,1,0,0,,0,2.6651427000909336,0.6931471805599453,0.0,0.0,,0.0
amrex,4584,https://github.com/AMReX-Codes/amrex/pull/4584,12.17,2,7,3,2.96,0,2.5779415157551897,1.0986122886681096,2.0794415416798357,1.3862943611198906,1.3762440252663892,0.0
amrex,4585,https://github.com/AMReX-Codes/amrex/pull/4585,1.88,2,1,0,,0,1.0577902941478545,1.0986122886681096,0.6931471805599453,0.0,,0.0
amrex,4586,https://github.com/AMReX-Codes/amrex/pull/4586,0.03,1,0,0,,0,0.0295588022415444,0.6931471805599453,0.0,0.0,,0.0
amrex,4587,https://github.com/AMReX-Codes/amrex/pull/4587,0.68,1,0,0,,0,0.5187937934151676,0.6931471805599453,0.0,0.0,,0.0
amrex,4588,https://github.com/AMReX-Codes/amrex/pull/4588,0.67,1,0,0,,0,0.5128236264286637,0.6931471805599453,0.0,0.0,,0.0
amrex,4589,https://github.com/AMReX-Codes/amrex/pull/4589,0.04,1,2,0,0.89,0,0.039220713153281295,0.6931471805599453,1.0986122886681096,0.0,0.636576829071551,0.0
amrex,4590,https://github.com/AMReX-Codes/amrex/pull/4590,0.06,1,0,0,,0,0.058268908123975775,0.6931471805599453,0.0,0.0,,0.0
amrex,4591,https://github.com/AMReX-Codes/amrex/pull/4591,0.29,2,4,1,0.11,0,0.2546422183735807,1.0986122886681096,1.6094379124341003,0.6931471805599453,0.10436001532424277,0.0
amrex,4594,https://github.com/AMReX-Codes/amrex/pull/4594,3.73,1,1,0,,0,1.5539252025038417,0.6931471805599453,0.6931471805599453,0.0,,0.0
amrex,4595,https://github.com/AMReX-Codes/amrex/pull/4595,5.02,1,2,1,4.94,0,1.7950872593207297,0.6931471805599453,1.0986122886681096,0.6931471805599453,1.7817091333745536,0.0
amrex,4596,https://github.com/AMReX-Codes/amrex/pull/4596,1.21,1,0,0,,0,0.7929925155296614,0.6931471805599453,0.0,0.0,,0.0
amrex,4598,https://github.com/AMReX-Codes/amrex/pull/4598,0.68,1,0,0,,0,0.5187937934151676,0.6931471805599453,0.0,0.0,,0.0
amrex,4604,https://github.com/AMReX-Codes/amrex/pull/4604,0.08,1,0,0,,0,0.07696104113612832,0.6931471805599453,0.0,0.0,,0.0
